param_number,param_name,default_value,options_or_range,modbus_address,scale
01,Output Priority,Solar,"Solar=0,Line=1,SBU=2",0xE204,1
02,Output Frequency,50Hz,"50Hz=5000,60Hz=6000",0xE209,0.01
03,AC Input Voltage Range,APL,"APL=0,UPS=1",0xE20B,1
06,Charge Priority,Solar First,"Solar First=0,Utility First=1,Solar and Utility=2,Solar Only=3",0xE20F,1
07,Maximum Charging Current,80A,0~150,0xE20A,0.1
08,Battery Type,GEL,"User Defined=0,Sealed Lead-Acid=1,Flooded Lead-Acid=2,GEL=3,Lithium=4",0xE004,1
09,Boost Voltage,57.6V,48~58.4 step 0.4,0xE008,0.1
10,Maximum Boost Duration,120min,5~900 step 5,0xE012,1
11,Float Charge Voltage,55.2V,48~58.4 step 0.4,0xE009,0.1
12,Over-discharge Voltage,42V,40~48 step 0.4,0xE00D,0.1
13,Over-discharge Delay Time,5s,5~50 step 5,0xE010,1
14,Battery Under-voltage Alarm,44V,40~52 step 0.4,0xE00C,0.1
15,Battery Discharge Limit Voltage,40V,40~52 step 0.4,0xE00E,0.1
16,Equalization Charge Enable,Enable,"Disable=0,Enable=1",0xE206,1
17,Equalization Voltage,58V,48~58 step 0.4,0xE007,0.1
18,Equalization Charging Time,120min,5~900 step 5,0xE011,1
19,Equalized Charging Delay,120min,5~900 step 5,0xE013,1
20,Equalization Charge Interval,30days,0~30,0xE01A,1
28,Grid Charge Current Limit,80A,0~100,0xE205,0.1
30,RS485 Address Setting,1,1~254,0xE216,1
33,BMS Communication Protocol,,"PACE=0,RUDA=1,AOGUAN=2,OULITE=3,CEF=4,XINWANGDA=5,DAQIN=6,WOW=7,PYL=8",0xE211,1
35,Battery Under-voltage Recovery,52V,44~54.4 step 0.4,0xE01B,0.1
36,Max PV Charger Current,80A,0~100,0xE001,1
37,Battery Recharge Recovery Point,52V,44~54 step 0.4,0xE022,0.1
38,AC Output Rated Voltage,230V,"100~264",0xE208,0.1
